Bunomys coelestis,no,Bunomys coelestis
Bunomys fratrorum,no,Bunomys fratrorum
Bunomys penitus,no,Bunomys penitus
Bunomys prolatus,no,Bunomys prolatus
Chelemys macronyx,no,Chelemys macronyx
Chelemys megalonyx,no,Chelemys megalonyx
Chibchanomys orcesi,no,Chibchanomys orcesi
Chibchanomys trichotis,no,Chibchanomys trichotis
Chilomys instans,no,Chilomys instans
Chinchilla chinchilla,no,Chinchilla chinchilla
Chinchilla lanigera,no,Chinchilla lanigera
Chinchillula sahamae,no,Chinchillula sahamae
Chionomys gud,no,Chionomys gud
Chionomys nivalis,no,Chionomys nivalis
Chionomys roberti,no,Chionomys roberti
Chiromyscus chiropus,no,Chiromyscus chiropus
Chiropodomys calamianensis,no,Chiropodomys calamianensis
Chiropodomys gliroides,no,Chiropodomys gliroides
Chiropodomys karlkoopmani,no,Chiropodomys karlkoopmani
Chiropodomys major,no,Chiropodomys major
Chiropodomys muroides,no,Chiropodomys muroides
Chiropodomys pusillus,no,Chiropodomys pusillus
Chiruromys forbesi,no,Chiruromys forbesi
Chiruromys lamia,no,Chiruromys lamia
Chiruromys vates,no,Chiruromys vates
Capromys pilorides,no,Capromys pilorides
Cardiocranius paradoxus,no,Cardiocranius paradoxus
Carpomys melanurus,no,Carpomys melanurus
Carpomys phaeurus,no,Carpomys phaeurus
Carterodon sulcidens,no,Carterodon sulcidens
Caryomys eva,no,Caryomys eva
Caryomys inez,no,Caryomys inez
Castor canadensis,no,Castor canadensis
Castor fiber,no,Castor fiber
Cavia aperea,no,Cavia aperea
Cavia fulgida,no,Cavia fulgida
Cavia intermedia,no,Cavia intermedia
Cavia magna,no,Cavia magna
Cavia tschudii,no,Cavia tschudii
Chrotomys gonzalesi,no,Chrotomys gonzalesi
Chrotomys mindorensis,no,Chrotomys mindorensis
Chrotomys silaceus,no,Chrotomys silaceus
Chrotomys whiteheadi,no,Chrotomys whiteheadi
Clyomys laticeps,no,Clyomys laticeps
Coccymys ruemmleri,no,Coccymys ruemmleri
Coendou bicolor,no,Coendou bicolor
Coendou nycthemera,no,Coendou nycthemera
Coendou prehensilis,no,Coendou prehensilis
Colomys goslingi,no,Colomys goslingi
Conilurus penicillatus,no,Conilurus penicillatus
Dasymys montanus,no,Dasymys montanus
Dasymys nudipes,no,Dasymys nudipes
Dasymys rufulus,no,Dasymys rufulus
Dasyprocta azarae,no,Dasyprocta azarae
Dasyprocta coibae,no,Dasyprocta coibae
Dasyprocta fuliginosa,no,Dasyprocta fuliginosa
Dasyprocta guamara,no,Dasyprocta guamara
Dasyprocta kalinowskii,no,Dasyprocta kalinowskii
Dasyprocta leporina,no,Dasyprocta leporina
Dasyprocta mexicana,no,Dasyprocta mexicana
Dasyprocta prymnolopha,no,Dasyprocta prymnolopha
Dasyprocta punctata,no,Dasyprocta punctata
Dasyprocta ruatanica,no,Dasyprocta ruatanica
Euneomys chinchilloides,no,Euneomys chinchilloides
Euneomys fossor,no,Euneomys fossor
Euneomys mordax,no,Euneomys mordax
Euneomys petersoni,no,Euneomys petersoni
Eupetaurus cinereus,no,Eupetaurus cinereus
Euryzygomatomys spinosus,no,Euryzygomatomys spinosus
Exilisciurus concinnus,no,Exilisciurus concinnus
Crateromys australis,no,Crateromys australis
Crateromys heaneyi,no,Crateromys heaneyi
Crateromys paulus,no,Crateromys paulus
Crateromys schadenbergi,no,Crateromys schadenbergi
Cratogeomys castanops,no,Cratogeomys castanops
Cratogeomys fumosus,no,Cratogeomys fumosus
Cratogeomys goldmani,no,Cratogeomys goldmani
Cratogeomys merriami,no,Cratogeomys merriami
Cremnomys cutchicus,no,Cremnomys cutchicus
Cremnomys elvira,no,Cremnomys elvira
Cricetomys emini,no,Cricetomys emini
Cricetomys gambianus,no,Cricetomys gambianus
Cricetulus alticola,no,Cricetulus alticola
Crossomys moncktoni,no,Crossomys moncktoni
Crunomys celebensis,no,Crunomys celebensis
Crunomys fallax,no,Crunomys fallax
Crunomys melanius,no,Crunomys melanius
Crunomys suncoides,no,Crunomys suncoides
Cryptomys hottentotus,no,Cryptomys hottentotus
Ctenodactylus gundi,no,Ctenodactylus gundi
Ctenodactylus vali,no,Ctenodactylus vali
Ctenomys argentinus,no,Ctenomys argentinus
Ctenomys australis,no,Ctenomys australis
Ctenomys azarae,no,Ctenomys azarae
Ctenomys bergi,no,Ctenomys bergi
Ctenomys boliviensis,no,Ctenomys boliviensis
Ctenomys bonettoi,no,Ctenomys bonettoi
Ctenomys brasiliensis,no,Ctenomys brasiliensis
Ctenomys colburni,no,Ctenomys colburni
Ctenomys coludo,no,Ctenomys coludo
Ctenomys conoveri,no,Ctenomys conoveri
Ctenomys coyhaiquensis,no,Ctenomys coyhaiquensis
Ctenomys dorbignyi,no,Ctenomys dorbignyi
Ctenomys dorsalis,no,Ctenomys dorsalis
Ctenomys emilianus,no,Ctenomys emilianus
Ctenomys famosus,no,Ctenomys famosus
Ctenomys flamarioni,no,Ctenomys flamarioni
Ctenomys fochi,no,Ctenomys fochi
Ctenomys fodax,no,Ctenomys fodax
Ctenomys frater,no,Ctenomys frater
Ctenomys fulvus,no,Ctenomys fulvus
Ctenomys goodfellowi,no,Ctenomys goodfellowi
Ctenomys haigi,no,Ctenomys haigi
Ctenomys johannis,no,Ctenomys johannis
Ctenomys juris,no,Ctenomys juris
Ctenomys knighti,no,Ctenomys knighti
Ctenomys lami,no,Ctenomys lami
